Source,Target,Weight
ARYA,RHAENYS,2
BALON,CATELYN,2
BARRA,JANOS,2
BENJEN,CRASTER,2
BILLY,RICKON,2
BITER,YOREN,2
BLACK_LORREN,OSHA,2
BLACK_LORREN,MAESTER_LUWIN,2
BOROS,JOFFREY,2
BRAN,SANSA,51
BRIENNE,DAVOS,17
BRIENNE,RICKARD_KARSTARK,2
BRIENNE,MELISANDRE,12
BRIENNE,COLEN,2
BRIENNE,LITTLEFINGER,48
BRONN,CERSEI,14
CATELYN,DAVOS,2
CATELYN,MELISANDRE,2
CATELYN,RICKON,4
CERSEI,DAVOS,6
CERSEI,JOANNA,4
CERSEI,HAYLENE,2
CERSEI,SALLADHOR,2
CERSEI,MATTHOS,2
COLEN,MARGAERY,2
COLEN,LORAS,2
COLEN,RENLY,2
CRASTER,MANCE,4
CRESSEN,MATTHOS,2
DAGMER,YARA,2
DAGMER,FARLEN,2
DAGMER,HODOR,2
DAVOS,ROBERT,5
DAVOS,MARYA,2
DAVOS,JOFFREY,2
DAVOS,FATHER_SEAWORTH,2
DAVOS,ROBB,4
DAVOS,LORAS,2
DONTOS,SANSA,32
EDDISON_TOLLETT,JEOR,8
FARLEN,RICKON,2
FREY_DAUGHTER,ROBB,2
GILLY,GRENN,2
HARREN,TYWIN,2
HAYLENE,PODRICK,2
HIGH_SEPTON,MYRCELLA,2
HOT_PIE,POLLIVER,2
HOT_PIE,TICKLER,2
HOUND,STANNIS,2
HOUND,TOMMEN,2
ILYN_PAYNE,TOMMEN,2
ILYN_PAYNE,LANCEL,2
JACKS,JAIME,2
JANOS,PYCELLE,2
JAQEN,YOREN,2
JOFFREY,SHAE,12
JOFFREY,MATTHOS,2
JORAH,MALAKKO,2
KEVAN,STANNIS,2
KOVARRO,SPICE_KING,2
LANCEL,TOMMEN,2
LANCEL,SHAE,2
LITTLEFINGER,MYRCELLA,2
LORAS,TOMMEN,25
LORAS,MELISANDRE,2
LORAS,ROBB,2
MARGAERY,TYWIN,12
MARGAERY,STANNIS,2
MATTHOS,ROBERT,2
MERYN,TOMMEN,2
MHAEGAN,ROS,2
MYRCELLA,TRYSTANE,26
MYRCELLA,ROBERT,2
NED,RODRIK,4
POLLIVER,TYWIN,2
PROTESTER,TYRION,2
QUAITHE,XARO,2
RAMSAY,ROOSE_BOLTON,122
RENNICK,ROBB,2
RHAENYS,VISENYA,2
RICKARD_KARSTARK,ROOSE_BOLTON,11
RICKARD_KARSTARK,TALISA,5
RICKON,RODRIK,2
ROBERT,THEON,2
SEPTON,TALISA,2
SILK_KING,SPICE_KING,2
TALISA,TORRHEN,2
THEON,TORRHEN,2
TRYSTANE,TYRION,2
RAMSAY,THEON,235
DAENERYS,MISSANDEI,198
BRAN,JOJEN,107
ARYA,THOROS,63
MARGAERY,SANSA,71
JAIME,LOCKE,59
BARRISTAN,JORAH,91
KRAZNYS_MO_NAKLOZ,MISSANDEI,54
JAIME,QYBURN,88
DAVOS,GENDRY,105
EDMURE,ROBB,46
GENDRY,MELISANDRE,48
DAVOS,SHIREEN,103
OLENNA,VARYS,40
BARRISTAN,DAENERYS,107
JON,ORELL,37
DAARIO,DAENERYS,225
OLENNA,TYWIN,49
JON,TORMUND,236
MEERA,OSHA,34
ARYA,BERIC,33
CERSEI,MARGAERY,131
ORELL,YGRITTE,32
OLENNA,TYRION,40
OLENNA,SANSA,33
ORELL,TORMUND,30
BRAN,MEERA,148
JAIME,ROOSE_BOLTON,29
TORMUND,YGRITTE,58
BERIC,THOROS,66
JOJEN,OSHA,28
BRYNDEN,CATELYN,27
ANGUY,ARYA,26
BERIC,HOUND,114
CERSEI,OLENNA,87
JOJEN,MEERA,68
DAENERYS,KRAZNYS_MO_NAKLOZ,23
HODOR,JOJEN,44
ROOSE_BOLTON,WALDER,23
MYRANDA,VIOLET,22
MARGAERY,OLENNA,123
SELYSE,STANNIS,60
ANGUY,HOUND,20
ANGUY,THOROS,20
GENDRY,THOROS,34
DAENERYS,RADZAI_MO_ERAZ,19
JEOR,RAST,19
THEON,TORTURER,19
BRYNDEN,EDMURE,29
BRAN,SAM,40
BRYNDEN,ROBB,17
DAARIO,JORAH,104
DAARIO,MERO,17
HOUND,THOROS,99
DAENERYS,MERO,16
SHIREEN,STANNIS,70
BRIENNE,LOCKE,15
CATELYN,EDMURE,17
HODOR,MEERA,73
JAIME,STEELSHANKS_WALTON,14
MANCE,TORMUND,26
MELISANDRE,THOROS,16
CRASTER,KARL_TANNER,18
JORAH,MISSANDEI,40
MEERA,RICKON,13
MERO,PRENDAHL,13
DAENERYS,GREY_WORM,73
EDMURE,ROSLIN,12
GREY_WORM,JORAH,30
JOJEN,SAM,12
MARTYN,TALISA,12
MYRANDA,THEON,29
ROS,SHAE,12
THEON,VIOLET,12
ANGUY,GENDRY,11
ANGUY,BERIC,11
EDDISON_TOLLETT,RAST,11
LORAS,OLYVAR,26
EDMURE,WALDER,15
GILLY,MAESTER_AEMON,14
LOCKE,ROOSE_BOLTON,12
LORAS,OLENNA,25
MANCE,ORELL,10
MERYN_TRANT,TYRION,10
TALISA,WALDER,10
BABY,SAM,9
BABY,GILLY,9
BRIENNE,ROOSE_BOLTON,9
GENDRY,STANNIS,9
JOJEN,RICKON,9
ROOSE_BOLTON,TYWIN,13
BLACK_WALDER,ROBB,8
BRONN,MERYN_TRANT,8
BRYNDEN,ROOSE_BOLTON,8
BRYNDEN,TALISA,8
CRASTER,RAST,13
DAENERYS,PRENDAHL,8
EDMURE,TALISA,8
FARMER,JON,8
GILLY,MEERA,8
HODOR,SAM,8
JEOR,KARL_TANNER,10
JOFFREY,OLENNA,20
MEERA,SAM,8
MERYN_TRANT,TARYN_MANT,8
ROSLIN,WALDER,8
BARRISTAN,MISSANDEI,20
BERIC,GENDRY,18
DAARIO,MISSANDEI,32
DAARIO,PRENDAHL,7
EDMURE,LOTHAR,13
FARMER,TORMUND,7
BARRISTAN,DAARIO,20
BERIC,MELISANDRE,6
BRYNDEN,WALDER,11
CATELYN,JOYEUSE,6
DAARIO,GREY_WORM,40
FARMER,YGRITTE,6
HOT_PIE,THOROS,6
JAIME,RENLY,6
JORAH,MERO,6
MACE,OLENNA,20
MERO,MISSANDEI,6
ROBB,ROSLIN,6
ARYA,MELISANDRE,5
BARRISTAN,GREY_WORM,19
BLACK_WALDER,EDMURE,14
BLACK_WALDER,LOTHAR,20
BRYNDEN,RICKARD_KARSTARK,5
GENDRY,HOUND,23
HOSTER,ROBB,5
JOJEN,JON,7
JORAH,KRAZNYS_MO_NAKLOZ,5
JORAH,ROBERT,5
MARGAERY,TYRION,16
MARTYN,WILLEM_LANNISTER,5
BALON,RAMSAY,4
BRAN,ORELL,4
CATELYN,ROSLIN,4
CERSEI,TARYN_MANT,4
EDMURE,RICKARD_KARSTARK,4
EDMURE,FREY_SEPTON,4
FARMER,ORELL,4
GILLY,JOJEN,4
GREIZHEN,MISSANDEI,4
JOYEUSE,TALISA,4
JOYEUSE,ROBB,4
LOCKE,TYWIN,4
LOTHAR,WALDER,13
MAREI,TYRION,6
MELISANDRE,ROBERT,4
QYBURN,ROOSE_BOLTON,4
QYBURN,TALISA,4
RAMSAY,YARA,11
ROSLIN,TALISA,4
SORCERER,VARYS,4
TARYN_MANT,TYRION,4
ANGUY,MELISANDRE,3
BERIC,MOUNTAIN,3
BLACK_WALDER,CATELYN,3
BLACK_WALDER,BRYNDEN,8
BRAN,GILLY,3
BRANDON_STARK,JOJEN,3
BRIENNE,SELWYN,8
BRYNDEN,LOTHAR,7
CRASTER,GRENN,7
DAENERYS,GREIZHEN,3
EDMURE,ROOSE_BOLTON,3
FARMER,JOJEN,3
GENDRY,ROBERT,9
GILLY,RANDYLL,11
GILLY,HODOR,3
HIGH_SEPTON,JOFFREY,8
HIGH_SEPTON,MARGAERY,7
HODOR,ORELL,3
JAIME,SELWYN,3
JOANNA,TYWIN,5
JOJEN,ORELL,3
JOJEN,NED,3
JON,OSHA,3
LITTLEFINGER,SHAE,3
LITTLEFINGER,OLYVAR,5
LORD_OF_BONES,TORMUND,16
LOTHAR,ROBB,3
MACE,MARGAERY,19
MEERA,ORELL,3
MERRY,WALDER,3
MERYN_TRANT,PODRICK,3
MISSANDEI,RADZAI_MO_ERAZ,3
MISSANDEI,PRENDAHL,3
MOUNTAIN,ROBB,3
OLENNA,PODRICK,3
OLENNA,ROBERT,3
ORELL,RICKON,3
ORELL,OSHA,3
QYBURN,ROBB,3
RAMSAY,ROBB,5
JON,LORD_OF_BONES,8
RICKARD_KARSTARK,WILLEM_LANNISTER,3
ROBERT,THOROS,3
ROOSE_BOLTON,STEELSHANKS_WALTON,3
ROOSE_BOLTON,THEON,25
SORCERER,TYRION,3
AEGON,SHIREEN,2
AEGON,DAVOS,2
AERYS,JOFFREY,2
ANGUY,HOT_PIE,2
ARYA,ROOSE_BOLTON,2
BALERION,DAVOS,2
BALON,ROOSE_BOLTON,4
BARRISTAN,RADZAI_MO_ERAZ,2
BARRISTAN,KRAZNYS_MO_NAKLOZ,2
BERT,SHIREEN,2
BLACK_WALDER,JOYEUSE,2
BOROS,MERYN_TRANT,2
BRAN,YGRITTE,2
BRAN,TORMUND,2
BRAN,FARMER,2
BRONN,LORAS,2
BRONN,OLENNA,4
BRONN,TARYN_MANT,2
BRONN,HIGH_SEPTON,2
BRONN,MARGAERY,2
BRYNDEN,HOSTER,2
BRYNDEN,ROSLIN,2
CATELYN,LOTHAR,2
CERSEI,HIGH_SEPTON,15
DAREON,HOBB,2
DAVOS,RYLENE,2
DESMOND,ELDRICK,2
DESMOND,TYRION,2
DESMOND,SANSA,2
EDDISON_TOLLETT,KARL_TANNER,2
EDMURE,MOUNTAIN,2
EDMURE,TYWIN,2
EDMURE,HOUND,2
EDMURE,JOYEUSE,2
FARMER,OSHA,2
FARMER,HODOR,2
FARMER,MEERA,2
FARMER,RICKON,2
FREY_SEPTON,ROSLIN,2
FREY_SEPTON,WALDER,2
GILLY,RAST,2
GREIZHEN,KRAZNYS_MO_NAKLOZ,2
GREIZHEN,JORAH,2
GRENN,KARL_TANNER,2
GREY_WORM,MISSANDEI,156
GREY_WORM,MERO,2
HIGH_SEPTON,PYCELLE,4
HIGH_SEPTON,SANSA,2
HIGH_SEPTON,TYWIN,2
HIGH_SEPTON,OLENNA,2
HIGH_SEPTON,TYRION,2
HIGH_SEPTON,LORAS,2
HODOR,YGRITTE,2
HODOR,TORMUND,2
HODOR,JON,2
HOUND,ROOSE_BOLTON,2
JAIME,PYCELLE,7
JAIME,LORAS,18
JOJEN,YGRITTE,2
JOJEN,TORMUND,2
LORD_OF_BONES,YGRITTE,4
JON,MEERA,2
JON,QHORIN_HALFHAND,2
JON,RICKON,11
JORAH,PRENDAHL,2
JOYEUSE,ROSLIN,2
KARL_TANNER,RAST,15
KARL_TANNER,SAM,2
LITTLEFINGER,PODRICK,10
LOCKE,STEELSHANKS_WALTON,2
LOCKE,QYBURN,2
LORAS,SHAE,2
LORD_OF_BONES,MANCE,4
LOTHAR,ROSLIN,2
LOTHAR,TALISA,2
LYSA,TYWIN,2
LYSA,VARYS,2
MARGAERY,PYCELLE,4
MARTYN,ROBB,2
MEERA,YGRITTE,2
MEERA,TORMUND,2
MELISANDRE,SELYSE,51
MOUNTAIN,THOROS,2
MYRANDA,RAMSAY,55
NED,RICKARD_KARSTARK,2
NED,THOROS,2
OLENNA,PYCELLE,5
OLENNA,RENLY,2
OSHA,TORMUND,2
OSHA,YGRITTE,2
PODRICK,SANSA,33
QHORIN_HALFHAND,YGRITTE,2
QYBURN,SELWYN,2
QYBURN,TYWIN,2
RAMSAY,VIOLET,2
RENLY,TYWIN,2
RICKARD_KARSTARK,ROSLIN,2
RICKARD_KARSTARK,WALDER,2
RICKON,YGRITTE,2
RICKON,TORMUND,4
RYLENE,STANNIS,2
SALLADHOR,STANNIS,2
SELYSE,SHIREEN,27
STEELSHANKS_WALTON,TYWIN,2
TYRION,WALDER,2
TYWIN,WALDER,2
LYSA,SANSA,92
OBERYN,TYWIN,79
BRIENNE,PODRICK,220
OBERYN,TYRION,78
CERSEI,OBERYN,63
LITTLEFINGER,LYSA,58
ELLARIA,OBERYN,58
ROBIN,SANSA,49
TOMMEN,TYWIN,45
DOLOROUS_EDD,JON,101
JANOS,JON,59
ARYA,BRIENNE,55
OBERYN,VARYS,34
STYR,YGRITTE,32
DOLOROUS_EDD,GRENN,31
LITTLEFINGER,YOHN_ROYCE,60
BRONN,JAIME,271
HOUND,POLLIVER,29
MARGAERY,TOMMEN,144
ALLISER_THORNE,JANOS,32
DAENERYS,HIZDAHR,93
GILLY,MOLES_TOWN_WHORE,24
MELISANDRE,SHIREEN,33
BRIENNE,HOT_PIE,25
BRIENNE,HOUND,40
ANYA_WAYNWOOD,LITTLEFINGER,21
JON,LOCKE,21
MACE,TYWIN,21
OBERYN,OLYVAR,21
FARMER_HAMLET,HOUND,20
GILLY,LITTLE_SAM,52
STYR,TORMUND,20
CERSEI,QYBURN,132
DAVOS,TYCHO,18
ELLARIA,OLYVAR,18
MORGAN,OBERYN,18
MOUNTAIN,OBERYN,22
RALF,THEON,18
ARYA,TERNESIO_TERYS,17
KARL_TANNER,MEERA,17
LITTLE_SAM,SAM,50
LYSA,ROBIN,17
STANNIS,TYCHO,17
DAENERYS,FENNESZ,15
RAMSAY,TANSY,15
SANSA,YOHN_ROYCE,44
BRIENNE,CERSEI,18
ELIA,OBERYN,14
GRENN,LOCKE,14
JOJEN,KARL_TANNER,14
JON,OLLY,61
MACE,TYRION,14
MACE,OBERYN,14
ARYA,FARMER_HAMLET,13
BRAN,LOCKE,13
CERSEI,MOUNTAIN,51
CERSEI,MACE,45
GRENN,JANOS,13
JAIME,TOMMEN,54
JAIME,PODRICK,16
DYING_MAN,HOUND,12
JAIME,OBERYN,12
JON,STANNIS,106
MANCE,STANNIS,26
PYCELLE,QYBURN,35
ANYA_WAYNWOOD,SANSA,11
DONTOS,LITTLEFINGER,11
ELLARIA,TYRION,18
FARMER_HAMLET,SALLY,11
JAIME,MARGAERY,19
JON,KARL_TANNER,11
ANYA_WAYNWOOD,YOHN_ROYCE,10
ARYA,DYING_MAN,10
KARL_TANNER,SISSY,10
MORGAN,MORGANS_FRIEND,10
OLLY,STYR,10
BRAN,THREE_EYED_RAVEN,85
ELLARIA,MAREI,9
ELLARIA,TYWIN,9
JANOS,SAM,17
JOFFREY,MACE,9
BALON_DWARF,ROBB_DWARF,8
BRONN,OBERYN,8
DOLOROUS_EDD,SAM,14
DOLOROUS_EDD,JANOS,11
DONNEL_HILL,GRENN,8
ELLARIA,MORGAN,8
JAIME,MACE,16
JOFFREY,OBERYN,8
JON,MORAG,8
MACE,VARYS,8
MORGANS_FRIEND,OBERYN,8
ALLISER_THORNE,LOCKE,7
BOLTON_GUARD,YARA,7
BRAN,KARL_TANNER,7
BRAN,LEAF,26
CERSEI,ELLARIA,30
CRASTER,DOLOROUS_EDD,7
DAENERYS,MEEREEN_CHAMPION,7
DAVOS,JON,214
DOLOROUS_EDD,PYP,9
DONGO_THE_GIANT,MAG_THE_MIGHTY,7
DORNISH_LORD,TYRION,7
ENDREW,JAIME,7
GILLY,PYP,7
GRENN,MAG_THE_MIGHTY,7
GUYMON,OLLY,7
HIZDAHR,HIZDAHRS_FATHER,7
HODOR,LOCKE,7
JON,SISSY,7
MACE,TOMMEN,9
MAREI,OBERYN,7
MOLES_TOWN_MADAM,SAM,7
OBERYN,SHAE,7
OBERYN,PYCELLE,7
OLLY,YGRITTE,7
OLLY,SAM,37
RENLY_DWARF,STANNIS_DWARF,7
ARYA,SALLY,6
BRIENNE,SANSA,96
BRIENNE,JOFFREY,6
CERSEI,DONTOS,6
DAVOS,SELYSE,15
DAVOS,MANCE,6
ELDER_MEEREEN_SLAVE,MOSSADOR,6
FIRST_MATE,YARA,6
GOATHERD,MISSANDEI,6
GRENN,OLLY,6
HOUND,LYSA,6
HOUND,RORGE,6
HOUND,SALLY,6
JAIME,VARYS,9
JOFFREY_DWARF,ROBB_DWARF,6
JON,STYR,6
MAREI,OLYVAR,6
MEERA,THREE_EYED_RAVEN,17
MORGAN,OLYVAR,6
MOUNTAIN,PYCELLE,6
MOUNTAIN,QYBURN,20
MYRANDA,TANSY,6
OBERYN,TOMMEN,6
ORSON,TYRION,6
SAM,TORMUND,6
TANSY,THEON,6
ALLISER_THORNE,DOLOROUS_EDD,20
ALLISER_THORNE,TORMUND,18
BRIENNE,TYRION,9
BRIENNE,OLENNA,5
DAENERYS,GOATHERD,5
DOLOROUS_EDD,LOCKE,5
DOLOROUS_EDD,MORAG,5
DONTOS,TYRION,5
ENDREW,JOFFREY,5
FENNESZ,MASTER_MIGHDAL,5
FIRST_MATE,THEON,5
GRENN,MORAG,5
HIGH_SEPTON,TOMMEN,5
HIZDAHR,MANSERVANT,5
HOT_PIE,PODRICK,5
JAIME,SHAE,5
JANOS,OLLY,8
JOFFREY,POLLIVER,5
LHARA,SALLADHOR,5
LUTHOR,OLENNA,5
MACE,PYCELLE,15
MACE,SANSA,5
MACE,SHAE,5
MARGAERY,OBERYN,5
MOUNTAIN,TYRION,15
OBERYN,PODRICK,5
RAMSAY,WALDA,34
ROOSE_BOLTON,WALDA,14
ADRACK_HUMBLE,THEON,4
AXELL_FLORENT,SELYSE,4
AXELL_FLORENT,MELISANDRE,4
BALON_DWARF,STANNIS_DWARF,4
BALON_DWARF,JOFFREY_DWARF,4
BLACK_JACK,KEGS,4
BLACK_JACK,MULLY,4
BRAN,CRASTER,4
BRAN,RAST,4
BRONN,MORGAN,4
COOPER,GRENN,4
CRASTER,MORAG,4
CRASTER,LOCKE,4
CRASTER,SISSY,4
CRASTERS_BABY,SISSY,4
CRASTERS_BABY,RAST,4
DAARIO,MEEREEN_CHAMPION,4
DAENERYS,HIZDAHRS_FATHER,4
DOLOROUS_EDD,SISSY,4
ELDER_MEEREEN_SLAVE,GREY_WORM,4
ELDER_MEEREEN_SLAVE,MEEREEN_SLAVE,4
ELIA,MOUNTAIN,4
ELIA,TYWIN,4
ELLARIA,JAIME,25
ELLARIA,MOUNTAIN,10
ELLARIA,PODRICK,4
GILLY,YGRITTE,4
GILLY,STYR,4
GILLY,JANOS,7
GRENN,SISSY,4
HIGH_SEPTON,JAIME,4
JANOS,MAESTER_AEMON,4
JOFFREY,JOFFREY_DWARF,4
JON,MAG_THE_MIGHTY,4
KEGS,MULLY,4
LEAF,MEERA,17
LITTLE_SAM,MOLES_TOWN_WHORE,4
LOCKE,RAMSAY,4
LORAS,OBERYN,4
LYSA,NED,4
LYSA,YOHN_ROYCE,4
MERYN,TYWIN,4
MERYN,ROOSE_BOLTON,4
MORAG,SISSY,4
MORGAN,TYRION,4
MYRANDA,YARA,4
OBERYN,SANSA,4
OLLY,OLLYS_MOTHER,4
PYCELLE,TOMMEN,14
SAM,YGRITTE,4
SAM,STYR,4
STYR,THENN_WARG,4
AERYS,TYRION,10
ALLISER_THORNE,OLLY,18
ALLISER_THORNE,QHORIN,3
ANYA_WAYNWOOD,LYSA,3
ARYA,PODRICK,8
BAELOR,TYWIN,3
BALON_DWARF,RENLY_DWARF,3
BOLTON_GUARD,FIRST_MATE,3
BRAN,CRASTERS_BABY,3
BRAN,RAMSAY,3
BRONN,ELLARIA,3
BRONN,MOUNTAIN,3
BRONN,LOLLYS,17
COOPER,DONNEL_HILL,3
CRASTER,JOJEN,3
CRASTER,MEERA,3
CRASTERS_BABY,MEERA,3
DAENERYS,MANSERVANT,3
DOLOROUS_EDD,OLLY,13
DONNEL_WAYNWOOD,HOUND,3
DORAN,TYRION,3
ELLARIA,JOFFREY,3
ELLARIA,LORAS,3
GILLY,TORMUND,3
GUYMON,OLLYS_MOTHER,3
HODOR,RAST,3
HODOR,LEAF,12
HOSTER,LYSA,3
HOUND,SYRIO_FOREL,3
HOUND,INNKEEPER,3
INNKEEPER,POLLIVER,3
JAIME,MERYN,3
JAIME,OLENNA,50
JOFFREY,ROBB_DWARF,3
JOFFREY,MOUNTAIN,3
JOFFREY_DWARF,STANNIS_DWARF,3
JOFFREY_DWARF,SANSA,3
JOJEN,LEAF,3
JOJEN,THREE_EYED_RAVEN,3
MAG_THE_MIGHTY,MANCE,3
MAG_THE_MIGHTY,SAM,3
MEEREEN_SLAVE,MOSSADOR,3
MOLES_TOWN_MADAM,MOLES_TOWN_WHORE,3
OLENNA,TOMMEN,6
OLLY,PYP,3
OLLY,TORMUND,8
PODRICK,TYWIN,3
PYP,TORMUND,3
STANNIS,TOMMEN,3
THENN_WARG,YGRITTE,3
THENN_WARG,TORMUND,3
VANCE_CORBRAY,YOHN_ROYCE,3
ADRACK_HUMBLE,RALF,2
AERYS,CERSEI,7
ALLISER_THORNE,CRASTER,2
ALLISER_THORNE,YGRITTE,2
ANYA_WAYNWOOD,VANCE_CORBRAY,2
ANYA_WAYNWOOD,ROBIN,2
ARYA,INNKEEPERS_DAUGHTER,2
ARYA,MERYN,12
ARYA,LYSA,2
ARYA,DONNEL_WAYNWOOD,2
ARYA,TOMMY,2
ARYA,INNKEEPER,2
AXELL_FLORENT,STANNIS,2
AXELL_FLORENT,DAVOS,2
BAELOR,HIGH_SEPTON,2
BAELOR,TYRION,2
BALON_DWARF,JOFFREY,2
BARRISTAN,GOATHERD,2
BITER,HOUND,2
BOROS,JAIME,2
BRIENNE,NED,2
BRIENNE,BRONN,7
BRONN,FALYSE,4
BRONN,MORGANS_FRIEND,2
CERSEI,ROBB_DWARF,2
CERSEI,ELIA,2
CERSEI,FOOL,2
CERSEI,JOFFREY_DWARF,2
CRASTER,HODOR,2
CRASTER,CRASTERS_BABY,2
CRASTERS_BABY,WHITE_WALKER,2
CRASTERS_BABY,JOJEN,2
CRASTERS_BABY,NIGHT_KING,2
CRASTERS_BABY,HODOR,2
CRASTERS_BABY,KARL_TANNER,2
DAENERYS,RHAEGAR,2
DAENERYS,MASTER_MIGHDAL,2
DAVOS,SAM,4
DAVOS,GRENN,2
DAVOS,DOLOROUS_EDD,32
DAVOS,MAESTER_AEMON,2
DOLOROUS_EDD,STANNIS,6
DOLOROUS_EDD,MELISANDRE,13
DOLOROUS_EDD,SELYSE,2
DOLOROUS_EDD,SHIREEN,2
DOLOROUS_EDD,MAESTER_AEMON,2
DONGO_THE_GIANT,JON,2
DONNEL_HILL,MAG_THE_MIGHTY,2
DORAN,OBERYN,10
DORNISH_LORD,OBERYN,2
DROGO,RHAEGAR,2
ELLARIA,VARYS,5
ELLARIA,MACE,2
ELLARIA,MARGAERY,2
ELLARIA,MORGANS_FRIEND,2
ELLARIA,SANSA,2
FENNESZ,MISSANDEI,2
FOOL,TYWIN,2
FOOL,JOFFREY,2
GILLY,MOLES_TOWN_MADAM,2
GOATHERD,JORAH,2
GOATHERD,GOATHERDS_SON,2
GOATHERD,GREY_WORM,2
GRENN,YGRITTE,2
GRENN,SHIREEN,2
GRENN,MELISANDRE,2
GRENN,STANNIS,2
GRENN,SELYSE,2
GRENN,MAESTER_AEMON,2
GREY_WORM,MOSSADOR,5
GUYMON,STYR,2
GUYMON,YGRITTE,2
HIGH_SEPTON,MACE,7
HIZDAHR,JORAH,6
HODOR,NED,5
HODOR,THREE_EYED_RAVEN,17
HOSTER,LITTLEFINGER,2
HOSTER,JON_ARRYN,2
HOUND,INNKEEPERS_DAUGHTER,2
HOUND,LOMMY,2
HOUND,TOMMY,2
HOUND,VARYS,5
INNKEEPER,TOMMY,2
JAIME,JOANNA,2
JANOS,OTHELL_YARWYCK,2
JANOS,LOCKE,2
JANOS,PYP,2
JANOS,LITTLE_SAM,2
JOFFREY,STANNIS_DWARF,2
JOFFREY,RENLY_DWARF,2
JOFFREY,LYSA,2
JOFFREY_DWARF,RENLY_DWARF,2
JOFFREY_DWARF,TYRION,2
JOFFREY_DWARF,MARGAERY,2
JOJEN,LOCKE,2
JOJEN,RAST,2
